Date,Open,High,Low,Close,Adj Close,Volume
2022-01-03,3825.300048828125,3866.14990234375,3823.5,3852.5,3852.5,0
2022-01-04,3880.199951171875,3892.330078125,3846.81005859375,3873.489990234375,3873.489990234375,0
2022-01-05,3857.89990234375,3875.25,3805.06005859375,3815.050048828125,3815.050048828125,0
2022-01-06,3758.679931640625,3784.169921875,3720.169921875,3753.2900390625,3753.2900390625,0
2022-01-10,3798.429931640625,3806.840087890625,3726.72998046875,3738.679931640625,3738.679931640625,0
2022-01-11,3764.56005859375,3800.909912109375,3751.449951171875,3785.2900390625,3785.2900390625,0
2022-01-12,3797.31005859375,3841.719970703125,3783.919921875,3829.949951171875,3829.949951171875,0
2022-01-13,3814.97998046875,3818.969970703125,3664.47998046875,3674.72998046875,3674.72998046875,0
2022-01-14,3703.89990234375,3723.6201171875,3512.030029296875,3596.97998046875,3596.97998046875,0
2022-01-17,3633.010009765625,3651.360107421875,3501.93994140625,3560.35009765625,3560.35009765625,0
2022-01-18,3527.77001953125,3534.56005859375,3297.1201171875,3328.93994140625,3328.93994140625,0
2022-01-19,3290.31005859375,3500.27001953125,3256.60009765625,3436.820068359375,3436.820068359375,0
2022-01-20,3519.02001953125,3533.610107421875,3403.739990234375,3516.02001953125,3516.02001953125,0
2022-01-21,3420.1201171875,3503.840087890625,3407.27001953125,3439.25,3439.25,0
2022-01-24,3426.18994140625,3426.469970703125,3158.4599609375,3235.280029296875,3235.280029296875,0
2022-01-25,3316.97998046875,3330.89990234375,3229.449951171875,3258.739990234375,3258.739990234375,0
2022-01-26,3341.7099609375,3412.14990234375,3276.06005859375,3357.659912109375,3357.659912109375,0
2022-01-27,3296.469970703125,3525.93994140625,3284.489990234375,3455.929931640625,3455.929931640625,0
2022-01-28,3508.570068359375,3534.39990234375,3446.010009765625,3488.60009765625,3488.60009765625,0
2022-01-31,3524.110107421875,3566.050048828125,3518.550048828125,3530.3798828125,3530.3798828125,0
2022-02-01,3564.550048828125,3584.7099609375,3531.35009765625,3548.169921875,3548.169921875,0
2022-02-02,3574.8701171875,3580.219970703125,3516.169921875,3543.800048828125,3543.800048828125,0
2022-02-03,3498.760009765625,3519.22998046875,3446.64990234375,3471.179931640625,3471.179931640625,0
2022-02-04,3499.320068359375,3556.320068359375,3464.139892578125,3471.010009765625,3471.010009765625,0
2022-02-07,3511.389892578125,3521.260009765625,3437.929931640625,3470.780029296875,3470.780029296875,0
2022-02-08,3497.179931640625,3551.64990234375,3487.639892578125,3551.64990234375,3551.64990234375,0
2022-02-09,3593.0,3638.929931640625,3580.449951171875,3638.929931640625,3638.929931640625,0
2022-02-10,3628.510009765625,3655.760009765625,3592.75,3655.760009765625,3655.760009765625,0
2022-02-11,3579.68994140625,3596.739990234375,3514.1201171875,3546.6201171875,3546.6201171875,0
2022-02-14,3442.820068359375,3524.8701171875,3404.35009765625,3481.3798828125,3481.3798828125,0
2022-02-15,3532.0,3614.14990234375,3514.97998046875,3600.2900390625,3600.2900390625,0
2022-02-16,3682.93994140625,3683.949951171875,3608.010009765625,3646.409912109375,3646.409912109375,0
2022-02-17,3588.27001953125,3595.1201171875,3498.199951171875,3511.080078125,3511.080078125,0
2022-02-18,3547.0400390625,3565.52001953125,3371.050048828125,3393.31005859375,3393.31005859375,0
2022-02-21,3458.72998046875,3460.419921875,2910.489990234375,3036.8798828125,3036.8798828125,0
2022-02-22,2909.39990234375,3113.39990234375,2756.4599609375,3084.739990234375,3084.739990234375,0
2022-02-24,2735.8798828125,2740.31005859375,1681.550048828125,2058.1201171875,2058.1201171875,0
2022-02-25,2261.330078125,2552.4599609375,2256.090087890625,2470.47998046875,2470.47998046875,0
2022-03-24,2474.52001953125,2761.169921875,2447.679931640625,2578.510009765625,2578.510009765625,0
2022-03-25,2620.6201171875,2664.739990234375,2470.68994140625,2484.1298828125,2484.1298828125,0
2022-03-28,2479.489990234375,2484.570068359375,2407.199951171875,2430.699951171875,2430.699951171875,0
2022-03-29,2442.429931640625,2538.199951171875,2363.6201171875,2408.489990234375,2408.489990234375,0
2022-03-30,2437.919921875,2513.030029296875,2437.919921875,2513.030029296875,2513.030029296875,0
2022-03-31,2535.320068359375,2703.510009765625,2533.389892578125,2703.510009765625,2703.510009765625,0
2022-04-01,2714.6201171875,2817.719970703125,2714.6201171875,2759.639892578125,2759.639892578125,0
2022-04-04,2775.06005859375,2835.4599609375,2682.340087890625,2787.68994140625,2787.68994140625,0
2022-04-05,2796.56005859375,2808.27001953125,2576.340087890625,2662.7900390625,2662.7900390625,0
2022-04-06,2641.7900390625,2696.969970703125,2594.949951171875,2611.429931640625,2611.429931640625,0
2022-04-07,2618.260009765625,2653.85009765625,2618.260009765625,2635.389892578125,2635.389892578125,0
2022-04-08,2649.159912109375,2656.719970703125,2554.719970703125,2592.719970703125,2592.719970703125,0
2022-04-11,2596.169921875,2623.639892578125,2557.159912109375,2557.159912109375,2557.159912109375,0
2022-04-12,2559.219970703125,2570.780029296875,2472.280029296875,2540.989990234375,2540.989990234375,0
2022-04-13,2546.639892578125,2558.860107421875,2517.43994140625,2528.419921875,2528.419921875,0
2022-04-14,2530.89990234375,2533.77001953125,2403.860107421875,2404.72998046875,2404.72998046875,0
2022-04-15,2403.159912109375,2431.909912109375,2353.1298828125,2424.989990234375,2424.989990234375,0
2022-04-18,2430.909912109375,2447.580078125,2338.360107421875,2342.6298828125,2342.6298828125,0
2022-04-19,2342.530029296875,2344.3701171875,2216.610107421875,2317.4599609375,2317.4599609375,0
2022-04-20,2326.030029296875,2374.8701171875,2271.719970703125,2330.72998046875,2330.72998046875,0
2022-04-21,2334.969970703125,2341.2099609375,2260.679931640625,2271.050048828125,2271.050048828125,0
2022-04-22,2271.179931640625,2290.0400390625,2223.72998046875,2232.22998046875,2232.22998046875,0
2022-04-25,2236.320068359375,2237.449951171875,2168.179931640625,2186.219970703125,2186.219970703125,0
2022-04-26,2190.969970703125,2347.919921875,2190.969970703125,2318.4599609375,2318.4599609375,0
2022-04-27,2326.27001953125,2427.469970703125,2305.469970703125,2424.280029296875,2424.280029296875,0
2022-04-28,2434.860107421875,2505.93994140625,2379.1201171875,2383.659912109375,2383.659912109375,0
2022-04-29,2390.830078125,2448.52001953125,2390.830078125,2445.169921875,2445.169921875,0
